sort_name,data_type,data_range,sort_time(miliseconds),compare
Selection-Sort,random,10000,201,100010001
Insertion-Sort,random,10000,0,29998
bubble-Sort,random,10000,130,100009999
Heap-Sort,random,10000,2,667998
Merge-Sort,random,10000,6,485559
Quick-Sort,random,10000,0,281070
Radix-Sort,random,10000,0,50025
Shaker-Sort,random,10000,112,100005001
Shell-Sort,random,10000,0,261072
Counting-Sort,random,10000,0,40011
Flash-Sort,random,10000,0,91783
Selection-Sort,nearly-sorted,10000,98,100010001
Insertion-Sort,nearly-sorted,10000,0,29998
bubble-Sort,nearly-sorted,10000,117,100009999
Heap-Sort,nearly-sorted,10000,2,670333
Merge-Sort,nearly-sorted,10000,6,485559
Quick-Sort,nearly-sorted,10000,0,281070
Radix-Sort,nearly-sorted,10000,0,50025
Shaker-Sort,nearly-sorted,10000,135,100005001
Shell-Sort,nearly-sorted,10000,0,261072
Counting-Sort,nearly-sorted,10000,0,40009
Flash-Sort,nearly-sorted,10000,0,91783
Selection-Sort,sorted,10000,109,100010001
Insertion-Sort,sorted,10000,0,29998
bubble-Sort,sorted,10000,112,100009999
Heap-Sort,sorted,10000,2,670333
Merge-Sort,sorted,10000,6,485559
Quick-Sort,sorted,10000,0,281070
Radix-Sort,sorted,10000,0,50025
Shaker-Sort,sorted,10000,114,100005001
Shell-Sort,sorted,10000,0,261072
Counting-Sort,sorted,10000,0,40009
Flash-Sort,sorted,10000,0,91783
Selection-Sort,reversed,10000,172,100010001
Insertion-Sort,reversed,10000,0,29998
bubble-Sort,reversed,10000,107,100009999
Heap-Sort,reversed,10000,2,670333
Merge-Sort,reversed,10000,6,485559
Quick-Sort,reversed,10000,0,281070
Radix-Sort,reversed,10000,0,50025
Shaker-Sort,reversed,10000,114,100005001
Shell-Sort,reversed,10000,0,261072
Counting-Sort,reversed,10000,0,40009
Flash-Sort,reversed,10000,0,91783
Selection-Sort,random,30000,918,900030001
Insertion-Sort,random,30000,0,89998
bubble-Sort,random,30000,977,900029999
Heap-Sort,random,30000,7,2238062
Merge-Sort,random,30000,19,1513466
Quick-Sort,random,30000,1,898685
Radix-Sort,random,30000,0,60000
Shaker-Sort,random,30000,1021,900015001
Shell-Sort,random,30000,0,801072
Counting-Sort,random,30000,0,120005
Flash-Sort,random,30000,0,102901
Selection-Sort,nearly-sorted,30000,877,900030001
Insertion-Sort,nearly-sorted,30000,0,89998
bubble-Sort,nearly-sorted,30000,967,900029999
Heap-Sort,nearly-sorted,30000,6,2236652
Merge-Sort,nearly-sorted,30000,18,1548993
Quick-Sort,nearly-sorted,30000,1,934106
Radix-Sort,nearly-sorted,30000,1,150025
Shaker-Sort,nearly-sorted,30000,993,900015001
Shell-Sort,nearly-sorted,30000,0,801072
Counting-Sort,nearly-sorted,30000,0,120007
Flash-Sort,nearly-sorted,30000,1,250758
Selection-Sort,sorted,30000,960,900030001
Insertion-Sort,sorted,30000,0,89998
bubble-Sort,sorted,30000,958,900029999
Heap-Sort,sorted,30000,6,2236652
Merge-Sort,sorted,30000,18,1548993
Quick-Sort,sorted,30000,1,934106
Radix-Sort,sorted,30000,0,150025
Shaker-Sort,sorted,30000,1000,900015001
Shell-Sort,sorted,30000,0,801072
Counting-Sort,sorted,30000,0,120007
Flash-Sort,sorted,30000,1,250758
Selection-Sort,reversed,30000,993,900030001
Insertion-Sort,reversed,30000,0,89998
bubble-Sort,reversed,30000,1075,900029999
Heap-Sort,reversed,30000,7,2236652
Merge-Sort,reversed,30000,20,1548993
Quick-Sort,reversed,30000,1,934106
Radix-Sort,reversed,30000,1,150025
Shaker-Sort,reversed,30000,1050,900015001
Shell-Sort,reversed,30000,1,801072
Counting-Sort,reversed,30000,0,120007
Flash-Sort,reversed,30000,1,250758
Selection-Sort,random,50000,2900,2500050001
Insertion-Sort,random,50000,0,149998
bubble-Sort,random,50000,3098,2500049999
Heap-Sort,random,50000,14,3928444
Merge-Sort,random,50000,58,2633946
Quick-Sort,random,50000,3,1623229
Radix-Sort,random,50000,0,100000
Shaker-Sort,random,50000,3534,2500025001
Shell-Sort,random,50000,1,1341072
Counting-Sort,random,50000,0,200005
Flash-Sort,random,50000,0,171501
Selection-Sort,nearly-sorted,50000,2630,2500050001
Insertion-Sort,nearly-sorted,50000,0,149998
bubble-Sort,nearly-sorted,50000,2670,2500049999
Heap-Sort,nearly-sorted,50000,12,3925355
Merge-Sort,nearly-sorted,50000,139,2715006
Quick-Sort,nearly-sorted,50000,3,1674075
Radix-Sort,nearly-sorted,50000,1,250025
Shaker-Sort,nearly-sorted,50000,2988,2500025001
Shell-Sort,nearly-sorted,50000,2,1341072
Counting-Sort,nearly-sorted,50000,0,200007
Flash-Sort,nearly-sorted,50000,2,434310
Selection-Sort,sorted,50000,2829,2500050001
Insertion-Sort,sorted,50000,0,149998
bubble-Sort,sorted,50000,3052,2500049999
Heap-Sort,sorted,50000,13,3925355
Merge-Sort,sorted,50000,38,2715006
Quick-Sort,sorted,50000,3,1674075
Radix-Sort,sorted,50000,2,250025
Shaker-Sort,sorted,50000,3225,2500025001
Shell-Sort,sorted,50000,2,1341072
Counting-Sort,sorted,50000,0,200007
Flash-Sort,sorted,50000,2,434310
Selection-Sort,reversed,50000,4123,2500050001
Insertion-Sort,reversed,50000,0,149998
bubble-Sort,reversed,50000,3805,2500049999
Heap-Sort,reversed,50000,13,3925355
Merge-Sort,reversed,50000,55,2715006
Quick-Sort,reversed,50000,7,1674075
Radix-Sort,reversed,50000,2,250025
Shaker-Sort,reversed,50000,4584,2500025001
Shell-Sort,reversed,50000,1,1341072
Counting-Sort,reversed,50000,0,200007
Flash-Sort,reversed,50000,13,434310
Selection-Sort,random,100000,21332,10000100001
Insertion-Sort,random,100000,0,299998
bubble-Sort,random,100000,15118,10000099999
Heap-Sort,random,100000,28,8360116
Merge-Sort,random,100000,70,5567898
Quick-Sort,random,100000,7,3446461
Radix-Sort,random,100000,0,200000
Shaker-Sort,random,100000,11549,10000050001
Shell-Sort,random,100000,3,2691072
Counting-Sort,random,100000,0,400005
Flash-Sort,random,100000,0,343001
Selection-Sort,nearly-sorted,100000,10130,10000100001
Insertion-Sort,nearly-sorted,100000,0,299998
bubble-Sort,nearly-sorted,100000,13733,10000099999
Heap-Sort,nearly-sorted,100000,27,8365084
Merge-Sort,nearly-sorted,100000,67,5730029
Quick-Sort,nearly-sorted,100000,8,3548155
Radix-Sort,nearly-sorted,100000,3,500025
